estado,inventario_bovino,lon,lat,degree_centrality,betweenness_centrality,closeness_centrality,pagerank,weighted_in_flux,weighted_out_flux,max_in_prob,max_out_prob,avg_dist_carretera,min_dist_carretera,dia_primera_infeccion,pct_sacrificado_dia_60,pico_infectados,dia_pico
Zacatecas,1010051,-102.71280409270696,23.260821792065077,2.0,0.0,1.0,0.034769619274143904,77.17986632518108,76.82787091464304,0.2171110194452619,0.2163293079194834,1001.9190322580645,193.31,51,0.04,577097,78
Yucatán,605536,-88.92868165177877,20.780061275478367,2.0,0.0,1.0,0.012552898761381093,15.89481179302915,15.822871891288745,0.0426010482396391,0.0425045488489956,1873.7364516129037,202.66,36,18.19,346614,62
Veracruz,4634761,-96.34893518966304,19.337994273840856,2.0,0.0,1.0,0.12270334950547408,315.5562645821991,315.31232052479066,1.0,0.9908998108892,1033.6661290322581,223.66,0,96.79,2646298,29
Tlaxcala,46922,-98.08339786728048,19.452643141314898,2.0,0.0,1.0,0.009653304676239684,14.154925385352627,13.889633720516139,0.0824833616619322,0.0796203264831986,911.936129032258,79.39,50,1.18,26825,70
Tamaulipas,1220235,-98.67545457067985,24.291427079974273,2.0,0.0,1.0,0.027885137346951794,60.41532390453691,60.06472143723417,0.1636612999544132,0.1628986364509129,1141.831935483871,327.96,28,52.0,697685,56
Tabasco,1720826,-92.61718368341288,17.93400787648896,2.0,0.0,1.0,0.045940016695393465,112.91926638093813,100.82642918143172,0.6166753189753699,0.4493407654750183,1360.0112903225804,371.64,30,37.08,982061,59
Sonora,1655136,-110.74372845292812,29.681057043156365,2.0,0.0,1.0,0.01594893591372843,23.29209706588962,23.21392611886613,0.0731292568259893,0.0730467986329507,1954.5370967741937,776.4,31,31.93,943049,60
Sinaloa,1665988,-107.47701299632996,24.987232594807036,2.0,0.0,1.0,0.02715257113730349,54.28283920502326,53.80050108458312,0.1458408051355568,0.1433370426875233,1356.6635483870966,509.97,56,0.0,949511,85
San Luis Potosí,1057139,-100.44551394051489,22.604557916842268,2.0,0.0,1.0,0.04065308116151356,95.28964662935363,95.72729764872064,0.2262553319178675,0.2263348732538389,960.2054838709678,254.22,55,0.01,602962,82
Quintana Roo,123747,-88.1242278699493,19.665255110451692,2.0,0.0,1.0,0.006980679251801295,4.53598630572358,4.560192870096886,0.0259743846806157,0.0259692587474927,1930.6151612903225,202.68,999,0.0,0,0
Querétaro,359995,-99.87902694485196,20.84024302924433,2.0,0.0,1.0,0.02278781601234928,49.49928707984626,50.12490188345465,0.1258345446991304,0.126632891924622,894.3670967741934,179.97,36,24.91,205815,61
Puebla,751229,-97.81699879165404,19.03351018867061,2.0,0.0,1.0,0.05496025243645844,137.63899525092035,138.2664236232736,0.9908998108892,1.0,940.5932258064518,78.0,25,68.56,428422,52
Oaxaca,1844891,-96.43684833267496,16.955515012544314,2.0,0.0,1.0,0.044497688736537186,110.15195617781328,109.89272151169986,0.5496919356546548,0.547386393456028,1190.65,336.03,29,41.68,1055023,58
Nuevo León,602254,-99.996683636199,25.57393190637658,2.0,0.0,1.0,0.01722210015373703,31.62089052005307,31.631153066231736,0.0972720599970346,0.0988207530771611,1158.693225806452,325.38,44,1.07,344740,70
Nayarit,670644,-104.85448427299252,21.77999587234665,2.0,0.0,1.0,0.027935926893256923,63.60902987263783,61.948834388839316,0.4906738872919209,0.4671989142754856,1087.1399999999999,252.33,56,0.01,383227,82
Morelos,108107,-99.0070640648162,18.732507076038043,2.0,0.0,1.0,0.01129519882178414,17.803256342491448,17.99066883268326,0.0528571964971112,0.0539085902869113,937.5699999999999,107.38,36,41.68,61831,58
Michoacán,2012284,-101.88720933030808,19.199204377742387,2.0,0.0,1.0,0.06763789557923931,170.9229238677482,170.5551826350829,0.7797507718772273,0.7801196554754521,984.0445161290323,282.03,28,45.87,1151854,57
México,586818,-99.62831970657544,19.339501154605927,2.0,0.0,1.0,0.036512265496550886,82.94322974806317,84.20273729208306,0.2076307794348062,0.2111264889597193,877.6012903225806,79.34,27,63.78,335894,53
Jalisco,3115594,-103.63151271904276,20.555118496011463,2.0,0.0,1.0,0.09931691885045428,246.81209330689387,249.354074396986,0.7801196554754521,0.7797507718772273,978.8435483870968,210.93,34,9.86,1783195,64
Hidalgo,473305,-98.85760501939284,20.48243797836757,2.0,0.0,1.0,0.02559071976338774,56.869805562337845,56.152503388431164,0.1752101451612199,0.173504586233825,925.7841935483871,184.2,55,0.01,269877,80
Guerrero,1313995,-99.87427075511827,17.66626981000193,2.0,0.0,1.0,0.03358458943403851,77.69296427768221,78.07214746790689,0.2517008811772726,0.2542068138048815,1106.3651612903225,241.92,29,46.13,752101,57
Guanajuato,800283,-101.03781640978592,20.897326129721225,2.0,0.0,1.0,0.04565288039971062,111.3008258011817,111.56156020715632,0.3001943893462675,0.3006488584860021,874.6503225806451,180.54,26,64.63,457385,53
Durango,1363227,-104.9839880509688,24.897776926555725,2.0,0.0,1.0,0.028822620350300067,59.73819327016794,59.663256175056944,0.1417313171980826,0.1422663682097343,1220.4016129032257,371.2,29,45.66,780310,57
Ciudad de México,2356,-99.08756070041656,19.237751037416142,2.0,0.8698924731182796,1.0,0.004912102423601713,0.6079733788047247,0.6287261566313698,0.0031268065906217,0.003152182548187,883.7293548387097,79.02,999,0.0,0,0
Colima,190817,-103.92168355915102,19.140844213153784,2.0,0.0,1.0,0.012976550417875321,23.45556032692431,22.873750959785262,0.1902339015764869,0.181324329045827,1106.523870967742,216.05,71,0.0,109156,94
Coahuila,481850,-102.0970414643614,27.277715750474098,2.0,0.0,1.0,0.011550843862778139,16.752852984343164,16.697968977120013,0.0380846551597453,0.0381134136687366,1345.7787096774193,391.78,999,0.0,0,0
Chihuahua,2245810,-106.44996739774317,28.81229657700194,2.0,0.0,1.0,0.02627399173893226,48.931656505992095,48.86716522274161,0.1137245797233606,0.1138201635841734,1547.8370967741935,618.82,44,0.29,1283594,73
Chiapas,2633463,-92.4758734866993,16.48839014707615,2.0,0.0,1.0,0.04649076549604063,108.57968064777519,120.04567605854567,0.4493407654750183,0.6166753189753699,1482.837741935484,323.45,27,47.59,1503947,57
Campeche,677246,-90.30923701376511,18.827031096788428,2.0,0.0,1.0,0.016933364110618326,29.598181606355542,29.682132121332298,0.1201282645431291,0.1225164680912115,1635.0467741935483,368.0,28,58.46,386879,54
Baja California Sur,146654,-112.0022408542708,25.869355047081747,2.0,0.5483870967741935,1.0,0.0050152555726279986,0.5641828366340086,0.5637669827371858,0.001246643675464,0.001245820440351,3439.4748387096774,937.41,999,0.0,0,0
Baja California,263305,-115.06435292834716,30.515387865809103,2.0,0.0,1.0,0.005945052463237333,2.0906726114907443,2.088187232160251,0.0083958806831205,0.0083865124595534,2660.0990322580647,860.12,999,0.0,0,0
Aguascalientes,93990,-102.38404547790604,21.97748628657194,2.0,0.0,1.0,0.009845607262552965,14.043935599812702,13.839871181086206,0.0527340643214477,0.0512650676858891,925.3054838709678,192.53,64,0.0,53589,85
